,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Mo,Cd,Ba,Pb
Blank,0.001,0.015,0.002,0.001,0.04,0.025,0.001,0.001,0,0,0.002,0,0,0,0,0,0.006,0,0.002,0
SH-60C_Disk_t0_Tot,0.006,163.111,0.022,0.039,0.364,0.271,0.127,0.003,0,0.001,0.014,0,0.001,0.001,0.11,0.001,0.026,0,0.016,0.001
SH-60C_Disk_t0.5_Tot,0.009,158.968,0.303,0.155,0.59,0.531,0.172,0.004,0,0.003,0.046,0.012,0.002,0.001,0.111,0.003,0.02,0,0.042,0.001
SH-60C_Disk_t1_Tot,0.008,161.718,0.563,0.044,0.397,0.576,0.239,0.005,0,0.002,0.02,0,0.001,0.001,0.648,0.006,0.016,0,0.04,0.001
SH-60C_Disk_t2_Tot,0.011,160.06,0.648,0.077,0.64,1.273,0.281,0.004,0,0.002,0.018,0.001,0.001,0.001,0.056,0.007,0.014,0,0.035,0.001
SH-60C_Disk_t3_Tot,0.01,163.62,0.837,0.235,0.473,2.027,0.306,0.005,0.004,0.011,0.164,0.001,0.018,0.001,0.083,0.008,0.012,0,0.046,0.001
SH-60C_Disk_t4_Tot,0.01,165.075,0.9,0.049,0.469,0.581,0.34,0.006,0,0.002,0.023,0,0.001,0.001,0.057,0.009,0.01,0,0.047,0.001
SH-60C_Disk_t7_Tot,0.01,165.902,1.176,0.998,0.756,0.595,0.435,0.007,0.007,0.014,0.153,0.001,0.037,0.001,0.048,0.011,0.009,0,0.063,0.001
SH-60C_Disk_t9_Tot,0.01,163.855,1.286,0.104,0.709,0.72,0.485,0.007,0.001,0.005,0.041,0,0.009,0.001,0.052,0.013,0.007,0,0.076,0.001
SH-60C_Disk_t15_Tot,0.007,166.052,1.495,0.146,0.768,0.619,0.558,0.008,0.001,0.005,0.033,0,0.007,0.001,0.055,0.015,0.007,0,0.099,0.001
SH-60C_Disk_t18_Tot,0.011,169.008,1.716,0.25,1.446,0.658,0.659,0.01,0.007,0.007,0.118,0,0.007,0.001,0.073,0.018,0.006,0,0.123,0.001
SH-60C_Disk_t23_Tot,0.01,165.072,1.848,0.204,1.375,0.626,0.75,0.012,0.001,0.005,0.096,0,0.003,0.001,0.081,0.019,0.006,0,0.133,0.001
,,,,,,,,,,,,,,,,,,,,
BLANK,0.001,0.033,0.003,0.022,0.039,0.064,0.019,0,0,0,0.006,0,0,0.001,0.002,0,0.001,0,0.002,0
SH-64C_Disk_t0_Tot,0.007,163.298,0.018,0.061,0.369,0.186,0.059,0.001,0.002,0.001,0.023,0,0.003,0.001,0.188,0.001,0.005,0,0.037,0.001
SH-64C_Disk_t0.5_Tot,0.009,167.635,0.369,0.192,0.429,2.407,0.269,0.005,0,0.008,0.153,0.019,0.004,0.002,0.174,0.004,0.004,0,0.062,0.001
