,Sample_ID,Time,Sample_Type,Group,Sample_Number,Sample_Combo,Experiment,Element,Concentration,Shale_ID
0,67C_Disk_t0_Tot,0.0,Disk,C,67,67C,Exp1,Li,4.722106378,67
1,67C_Disk_t0.5_Tot,0.5,Disk,C,67,67C,Exp1,Li,2.83584726,67
2,67C_Disk_t1_Tot,1.0,Disk,C,67,67C,Exp1,Li,2.992709307,67
3,67C_Disk_t2_Tot,2.0,Disk,C,67,67C,Exp1,Li,5.891790499,67
4,67C_Disk_t3_Tot,3.0,Disk,C,67,67C,Exp1,Li,3.908542881,67
5,67C_Disk_t4_Tot,4.0,Disk,C,67,67C,Exp1,Li,4.532321017,67
6,67C_Disk_t7_Tot,7.0,Disk,C,67,67C,Exp1,Li,2.465954035,67
7,67C_Disk_t9_Tot,9.0,Disk,C,67,67C,Exp1,Li,2.909963071,67
8,67C_Disk_t15_Tot,15.0,Disk,C,67,67C,Exp1,Li,3.063077677,67
9,67C_Disk_t18_Tot,18.0,Disk,C,67,67C,Exp1,Li,3.38130206,67
10,67C_Disk_t23_Tot,23.0,Disk,C,67,67C,Exp1,Li,2.973830855,67
11,BLANK,,,,,,Exp1,Li,0.744,nan
12,63C_Disk_t0_Tot,0.0,Disk,C,63,63C,Exp1,Li,2.799412215,63
13,63C_Disk_t0.5_Tot,0.5,Disk,C,63,63C,Exp1,Li,1.633859651,63
14,63C_Disk_t1_Tot,1.0,Disk,C,63,63C,Exp1,Li,2.458455895,63
15,63C_Disk_t2_Tot,2.0,Disk,C,63,63C,Exp1,Li,3.047232806,63
16,63C_Disk_t3_Tot,3.0,Disk,C,63,63C,Exp1,Li,4.519707202,63
17,63C_Disk_t4_Tot,4.0,Disk,C,63,63C,Exp1,Li,2.743204527,63
18,63C_Disk_t7_Tot,7.0,Disk,C,63,63C,Exp1,Li,3.22221647,63
19,63C_Disk_t9_Tot,9.0,Disk,C,63,63C,Exp1,Li,2.774338127,63
20,63C_Disk_t15_Tot,15.0,Disk,C,63,63C,Exp1,Li,1.972583835,63
21,63C_Disk_t18_Tot,18.0,Disk,C,63,63C,Exp1,Li,2.591162626,63
22,63C_Disk_t23_Tot,23.0,Disk,C,63,63C,Exp1,Li,2.332310285,63
23,BLANK,,,,,,Exp1,Li,0.149,nan
24,67B_Disk_t0_Tot,0.0,Disk,B,67,67B,Exp1,Li,1.323196715,67
25,67B_Disk_t0.5_Tot,0.5,Disk,B,67,67B,Exp1,Li,3.158513924,67
26,67B_Disk_t1_Tot,1.0,Disk,B,67,67B,Exp1,Li,2.511096068,67
27,67B_Disk_t2_Tot,2.0,Disk,B,67,67B,Exp1,Li,2.134818577,67
28,67B_Disk_t3_Tot,3.0,Disk,B,67,67B,Exp1,Li,2.951905356,67
29,67B_Disk_t4_Tot,4.0,Disk,B,67,67B,Exp1,Li,3.895609521,67
30,67B_Disk_t7_Tot,7.0,Disk,B,67,67B,Exp1,Li,3.178123929,67
31,67B_Disk_t9_Tot,9.0,Disk,B,67,67B,Exp1,Li,2.247302392,67
32,67B_Disk_t15_Tot,15.0,Disk,B,67,67B,Exp1,Li,4.25190933,67
33,67B_Disk_t18_Tot,18.0,Disk,B,67,67B,Exp1,Li,1.010228045,67
34,67B_Disk_t23_Tot,23.0,Disk,B,67,67B,Exp1,Li,2.137812627,67
35,BLANK,,,,,,Exp1,Li,0.279,nan
