,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Sr,Mo,Cd,Ba,Pb
Blank,0.690,6.736,0.438,0.760,176.427,23.664,0.611,0.119,0.040,0.035,1.357,0.009,0.264,0.049,0.237,0.000,0.014,0.271,0.017,0.208,0.073
SH64C Disk t0,8.043,186634.555,62.627,18.090,1167.482,670618.883,49.491,0.852,0.494,2.080,16.092,2.139,2.297,1.164,42.387,0.066,3.920,193.573,0.216,11.922,1.003
SH64C Disk t0.5,7.253,156300.391,400.277,36.526,1103.612,514.503,205.670,3.270,0.774,0.799,14.341,0.112,1.293,0.973,61.495,0.058,4.036,2.099,0.094,29.197,2.102
SH64C Disk t1,6.059,166300.311,615.189,31.647,1236.546,547.076,243.967,3.496,1.400,0.910,23.842,0.151,2.514,0.803,57.388,0.045,5.231,2.114,0.083,13.634,2.036
SH64C Disk t2,6.453,168434.256,771.115,34.805,1350.163,442.722,268.694,4.346,1.964,0.986,29.775,0.166,2.955,0.817,93.762,0.074,6.513,2.145,0.099,18.643,2.042
SH64C Disk t3,6.821,163302.785,841.455,146.802,1432.954,440.965,308.343,4.015,1.077,0.830,34.680,0.142,2.589,1.178,61.175,0.000,6.913,2.136,0.079,18.484,2.095
SH64C Disk t4,6.255,173330.674,979.739,68.584,2150.237,466.407,401.093,6.084,0.948,1.697,33.803,0.127,2.296,0.801,50.078,0.059,7.867,1.819,0.104,20.682,2.248
SH64C Disk t7,4.332,167517.537,1153.051,141.758,1720.829,484.807,406.916,5.905,0.830,1.132,43.457,0.148,2.120,0.915,82.043,0.133,9.455,1.838,0.116,39.673,2.196
SH64C Disk t9,6.099,168361.840,1238.040,76.824,1687.359,474.364,429.015,6.097,1.250,0.933,43.192,0.169,2.307,1.249,45.545,0.071,10.212,1.869,0.106,32.751,2.275
SH64C Disk t15,5.476,175765.444,1605.380,202.165,1953.879,508.149,551.368,9.483,1.550,1.756,108.796,0.206,4.950,1.090,51.712,0.089,13.646,1.900,0.095,42.904,2.391
SH64C Disk t18,4.141,168213.532,1600.049,179.837,1909.634,556.449,567.914,12.032,2.351,1.800,119.485,0.213,4.149,1.070,63.370,0.143,13.779,2.082,0.094,46.312,2.411
SH64C Disk t23,6.426,165138.991,1724.302,163.452,2354.299,525.589,584.450,8.629,2.009,2.351,82.603,0.247,4.501,1.074,66.081,0.187,15.049,2.057,0.083,55.309,2.216
SH64C Disk t42,8.511,167847.182,2043.916,180.956,2205.431,543.786,733.206,9.824,0.931,1.378,87.532,0.134,1.416,1.304,69.523,0.213,18.920,2.329,0.103,94.020,2.457
,,,,,,,,,,,,,,,,,,,,,
Blank,0.673,53.237,4.082,4.759,148.337,43.111,22.796,0.421,0.169,0.078,2.389,0.015,0.309,0.171,0.788,0.016,0.096,0.161,0.012,0.538,0.469
C4-67C Disk t0,3.911,186700.691,36.798,47.790,1142.644,55533.501,88.967,1.573,0.980,1.928,18.378,10.341,1.677,1.434,39.220,0.029,1.300,17.217,0.172,36.329,2.878
C4-67C Disk t0.5,3.398,164228.448,388.832,26.894,1196.914,439.385,205.448,3.039,0.856,1.966,14.213,0.108,1.490,0.699,97.281,0.028,8.947,1.162,0.034,14.171,2.179
C4-67C Disk t1,3.804,165937.527,551.192,28.652,1688.376,493.104,263.447,3.690,0.928,1.997,20.232,0.141,2.069,1.595,76.065,0.015,11.221,1.501,0.087,8.409,2.075
C4-67C Disk t2,5.251,168944.570,651.152,39.646,1134.627,531.043,298.042,4.610,1.143,2.028,28.013,0.143,2.728,0.784,51.988,0.057,13.026,1.484,0.092,7.980,2.110
C4-67C Disk t3,4.666,164932.531,705.372,34.383,1365.674,567.208,349.842,6.088,1.053,3.201,25.340,0.169,1.732,0.840,74.367,0.083,13.269,1.426,0.070,10.564,2.132
C4-67C Disk t4,2.610,174048.455,809.592,71.835,1339.343,562.250,366.436,5.259,0.941,2.688,34.614,0.199,2.125,1.119,129.330,0.131,15.322,1.532,0.069,12.242,2.179
C4-67C Disk t7,3.242,163673.118,953.802,101.698,1597.928,601.401,414.089,6.038,0.954,2.808,42.187,0.246,2.268,1.106,36.496,0.110,16.835,1.596,0.057,8.207,2.174
