Shale Number,Disk./ Dust,Treatment,TIMEPOINT,VALUE,TIMEPOINT,O2
64,Disk,A,t0,4.37,N/A,
64,Disk,A,t0.5,5.61,5:42 PM,9.4
64,Disk,A,t1,6.09,5:28 PM,8.19
64,Disk,A,t2,6.2,4:40 PM,7.59
64,Disk,A,t3,6.16,4:32 PM,7.13
64,Disk,A,t4,6.67,4:23 PM,6.74
64,Disk,A,t7,N/A,4:14 PM,6.37
64,Disk,A,t9,7,2:36 PM,6.04
64,Disk,A,t15,7.5,3:01 PM,5.6
64,Disk,A,t18,7.5,10:43 AM,5.12
64,Disk,A,t23,7.5,2:15 PM,4.93
64,Disk,A,t42,N/A,2:11 PM,4.74
67,Disk,A,t0,4.37,N/A,
67,Disk,A,t0.5,5.66,5:54 PM,9.75
67,Disk,A,t1,6.09,5:36 PM,7.94
67,Disk,A,t2,6.23,4:50 PM,7.39
67,Disk,A,t3,6.24,4:42 PM,6.88
67,Disk,A,t4,6.52,4:31 PM,6.6
67,Disk,A,t7,N/A,4:18 PM,6.57
67,Disk,A,t9,7,2:49 PM,6.35
67,Disk,A,t15,7.5,3:07 PM,5.84
67,Disk,A,t18,7.5,10:49 AM,5.38
67,Disk,A,t23,7.5,2:22 PM,5.15
67,Disk,A,t42,N/A,2:19 PM,4.94
64,Disk,D,t0,5.55,N/A,
64,Disk,D,t0.5,6.06,6:08 PM,9.14
64,Disk,D,t1,6.67,5:43 PM,8.2
64,Disk,D,t2,6.95,4:58 PM,7.61
64,Disk,D,t3,7.06,4:51 PM,7.11
64,Disk,D,t4,7.14,4:40 PM,6.76
64,Disk,D,t7,N/A,4:22 PM,6.45
64,Disk,D,t9,7,2:59 PM,6.38
64,Disk,D,t15,7,3:14 PM,5.85
64,Disk,D,t18,7,10:57 AM,5.39
64,Disk,D,t23,7,2:28 PM,5.2
64,Disk,D,t42,N/A,2:27 PM,5.05
67,Disk,D,t0,5.55,N/A,
67,Disk,D,t0.5,5.17,6:12 PM,9.25
67,Disk,D,t1,6.87,5:53 PM,8.22
67,Disk,D,t2,6.94,5:07 PM,7.63
67,Disk,D,t3,7.15,4:59 PM,7.11
67,Disk,D,t4,7.11,4:46 PM,6.74
67,Disk,D,t7,N/A,4:26 PM,6.42
67,Disk,D,t9,7,3:04 PM,6.12
67,Disk,D,t15,7,3:20 PM,5.6
