,7Li (KED_IS),23Na (KED_IS),24Mg (KED_IS),27Al (KED_IS),29Si (KED_IS),39K (KED_IS),44Ca (KED_IS),48Ti (KED_IS),52Cr (KED_IS),55Mn (KED_IS),56Fe (KED_IS),59Co (KED_IS),60Ni (KED_IS),63Cu (KED_IS),66Zn (KED_IS),88Sr (KED_IS),95Mo (KED_IS),111Cd (KED_IS),137Ba (KED_IS),208Pb (KED_IS)
,,,,,,,,,,,,,,,,,,,,
Blank,0.970,17.653,4.471,3.770,102.405,77.081,5.443,0.081,0.162,0.146,2.945,0.071,0.329,0.329,1.344,0.033,0.037,0.003,1.005,0.021
Blank,0.538,13.728,3.703,3.869,59.983,69.382,3.331,0.084,0.122,0.164,3.080,0.068,0.475,0.347,1.105,0.054,0.156,0.000,1.138,0.025
67C_Disk_t0_Tot,4.722106378,190443.5082,44.96933296,355.248569,662.6263825,623.7263195,287.5098579,4.064753399,0.619842902,2.194680852,12.17436421,0.261655262,5.085814006,0.681651084,107.4934381,1.721957542,0.693992472,0.044490878,92.63796327,0.637358357
67C_Disk_t0.5_Tot,2.83584726,184659.0778,409.7375978,572.4666118,657.3237385,1024.47669,477.3348144,4.289381769,2.376927445,9.41739931,62.67230909,0.673119833,26.05232726,4.018904212,209.6848608,7.469184866,10.48809276,0.031437089,38.90813331,0.369883038
67C_Disk_t1_Tot,2.992709307,177625.1289,619.2612645,96.67885459,655.7355292,974.1806814,368.0449725,3.958400624,1.368276392,3.018834383,27.84011389,0.15221385,2.416943603,3.664695309,74.91776387,12.27515427,0.717773739,0.070784978,9.813570424,0.431901689
67C_Disk_t2_Tot,5.891790499,176201.5792,905.4694423,2233.319609,811.1372103,1994.366673,608.4026828,9.78850115,1.938882908,11.64286865,280.8495508,6.485525026,5.719959679,6.100337164,133.207263,14.62569421,5.695986989,0.426346581,130.9213196,1.035785686
67C_Disk_t3_Tot,3.908542881,180250.6963,902.812023,1043.008398,742.8926768,1261.574456,485.1237374,5.279503355,1.008455898,4.203704397,65.74981769,0.187585667,2.995286536,2.510562564,61.24023229,14.54461862,1.464389622,0.049217885,43.18216805,0.396240106
67C_Disk_t4_Tot,4.532321017,175421.2107,951.6635063,1052.65795,944.2119434,1080.453983,654.9874327,6.367324459,2.358851377,12.66539554,126.5955833,0.962536651,36.8806819,3.25152132,81.2416624,16.36103379,16.48818027,0,39.55685059,0.254943532
67C_Disk_t7_Tot,2.465954035,184709.6568,1097.652203,699.5854527,880.4416252,1129.354166,559.0986846,6.058569055,0.793816157,4.726945751,88.60166668,0.735375832,1.720896913,1.167087312,87.25965397,16.58040334,1.150610913,0.048138423,11.68996395,0.577071414
67C_Disk_t9_Tot,2.909963071,164735.7222,1182.11031,475.3248178,928.099959,1286.432906,575.8330418,5.923418482,3.104326102,5.332815787,60.9945698,0.494905656,2.285050059,1.326551354,75.54260496,19.46725884,1.749037776,0.034714312,13.42425367,0.374259433
67C_Disk_t15_Tot,3.063077677,172629.8752,1636.745996,143.8077681,1006.040283,1250.965548,815.5219612,11.2526486,14.54300178,99.48913269,322.8237689,2.543459996,12.09016909,1.795296543,131.9823178,23.06014284,2.622661082,0.101684462,16.87453908,0.975086645
67C_Disk_t18_Tot,3.38130206,181168.8604,1683.246082,242.3919452,1092.48287,1369.389411,1064.713036,16.46711396,35.26198953,14.7086945,603.9222346,4.933565026,49.44348054,17.01378872,255.551647,25.63317456,2.675912873,0.046872963,36.18529028,0.781457542
67C_Disk_t23_Tot,2.973830855,190370.8805,1868.259764,571.3101967,1339.085463,1340.184622,1123.727,20.70226444,7.832670335,8.552336803,231.0120435,1.697001468,8.717499446,3.046555809,174.8798681,26.89331517,1.817791542,0.098926123,24.9621541,1.446185212
,,,,,,,,,,,,,,,,,,,,
BLANK,0.744,21.581,5.054,3.311,94.720,81.100,15.119,0.147,0.107,0.192,1.288,0.012,0.222,0.085,1.338,0.094,0.036,0.005,1.199,0.011
63C_Disk_t0_Tot,2.799412215,170148.1556,36.3129477,1262.707824,750.5416903,633.1132871,53.61142768,0.949491371,0.937358715,2.532544139,13.5426812,0.607083219,3.278824668,0.861124098,121.5495683,1.196393431,0.451902836,0.032883804,71.13449644,0.272519521
63C_Disk_t0.5_Tot,1.633859651,180985.1636,336.6312378,570.2233206,783.3627909,899.7463952,259.5780236,3.116689441,1.284814357,3.09135312,17.61735366,0.632800634,3.028077114,1.926990897,179.3416019,5.595396099,0.508393384,0.015805847,41.74295698,0.332355646
63C_Disk_t1_Tot,2.458455895,172130.3865,570.6257505,14022.31787,721.6086582,1097.358021,368.7489247,5.070748311,1.70953914,4.621977142,41.44230229,0.20836221,3.270443771,2.164310505,64.71917202,11.15156752,0.679399118,0.035573081,32.75635287,0.262718626
63C_Disk_t2_Tot,3.047232806,153648.6441,1111.674697,2371.141687,907.2590006,1322.564007,448.7060015,28.25047183,1.75143719,11.18199209,345.4767081,0.491831348,2.370792473,2.580771946,67.83001158,14.15160404,12.58520394,0.015828985,31.70293548,0.299346568
63C_Disk_t3_Tot,4.519707202,179344.1992,810.1966535,235.8974559,945.248435,1097.392633,470.8799703,6.61069762,0.854887052,4.927533075,56.31886318,0.429220176,2.260306723,2.206859167,72.3587801,13.57729678,2.672931219,0,24.75378619,0.300937799
63C_Disk_t4_Tot,2.743204527,177480.2077,951.7040764,822.1638107,1405.393063,1164.362265,468.9209779,5.351153444,4.371119851,7.391374475,57.55672542,0.578276047,4.751310359,1.30641262,71.05097581,14.9285582,1.021071789,0,49.86657594,0.323197628
63C_Disk_t7_Tot,3.22221647,194848.5225,1278.794585,458.9694135,1002.311162,1105.973873,593.1403491,6.232927021,1.066875534,7.027627961,111.2101127,0.487075034,5.932519995,3.497389648,77.60836906,17.59539682,1.422996529,0.016917765,17.20555751,0.687468758
63C_Disk_t9_Tot,2.774338127,163066.5432,1227.446712,114.4787923,818.7307424,1004.073079,624.4645511,6.681228113,3.518218369,7.612124614,69.04694564,0.400977587,4.076068702,1.165986764,77.06916763,18.68782861,1.542064231,0.049025875,13.05479063,0.45205707
63C_Disk_t15_Tot,1.972583835,167006.2333,2058.034661,183.4995026,1070.545286,1441.630722,895.6045097,9.17431844,37.58533013,16.96281112,711.20809,3.291314329,22.90106338,2.821207817,107.4800339,20.59314774,3.430325836,0.016678039,16.58578772,0.881012171
63C_Disk_t18_Tot,2.591162626,169857.498,1495.163116,1103.152681,1173.062234,1141.954463,800.7999975,9.731400796,359.0062686,41.38755744,1969.33576,7.141143311,282.5186111,11.53043287,134.1929498,24.09960886,8.808259127,0.052240006,36.16957383,0.795847167
63C_Disk_t23_Tot,2.332310285,186863.6625,1746.747742,271.9680389,1239.525132,1474.50983,1075.444206,13.90440524,3.827328961,8.993319598,125.4843109,1.354446937,3.934253971,2.797636001,129.6552724,27.31132913,2.492079726,0.034639338,28.18551271,0.867797902
,,,,,,,,,,,,,,,,,,,,
BLANK,0.149,24.202,4.893,9.131,116.947,78.575,15.259,0.103,0.127,0.158,1.598,0.014,0.273,0.080,1.160,0.053,0.022,0.000,1.282,0.012
67B_Disk_t0_Tot,1.323196715,146986.1478,33.2289041,1473.040416,516.1033032,773.7703336,64.72568348,0.892755743,0.973921034,2.170120782,21.80926737,0.212876909,2.662744183,0.869521966,365.1176185,1.530604792,0.250557148,0.034617707,116.0525598,0.352106119
67B_Disk_t0.5_Tot,3.158513924,182921.2492,399.3020902,704.9679666,1232.98501,1066.718967,277.602374,3.370825366,5.331748401,5.731451818,33.53724001,0.419500737,8.563713961,4.232543833,210.5239807,8.079011817,0.222551371,0.016546509,40.08460904,0.330445362
67B_Disk_t1_Tot,2.511096068,160872.4644,728.671786,1158.307452,765.7772278,1133.587797,464.7737629,5.381734542,1.668853938,5.197670251,48.57547514,0.275110338,8.148062553,2.647592107,179.6652421,12.41199124,0.513487208,0.034328102,30.50778986,0.45750541
67B_Disk_t2_Tot,2.134818577,158309.9323,1006.14412,597.3836122,783.1691109,1215.600167,666.7543249,6.285164853,0.884441988,4.893315931,41.66506882,0.316103915,1.998924648,1.883853404,68.44325765,15.73025133,0.568185557,0,40.45160716,0.239642591
67B_Disk_t3_Tot,2.951905356,173139.4327,1121.303112,288.0000163,808.7767482,1348.748735,591.524184,6.097161091,0.535044221,4.889946788,43.39380627,0.226415341,1.934606256,2.500945861,60.08990694,17.2487043,0.471010819,0,40.35386689,0.28834916
67B_Disk_t4_Tot,3.895609521,173382.9974,1209.909162,1118.178342,1256.614563,1297.679242,580.6833353,5.924416593,110.5279336,36.25523467,319.0239704,4.20133711,187.6536352,5.022041006,76.29258249,19.88214608,2.281753549,0,44.550668,0.42045611
67B_Disk_t7_Tot,3.178123929,164148.6619,1466.854453,121.5080571,1201.010437,1315.068014,779.3463902,7.289893181,3.152739837,11.28737072,94.21486873,0.95053513,16.68296835,1.586024987,62.76152541,23.28863399,1.174618879,0.053814758,18.2162177,0.409085861
67B_Disk_t9_Tot,2.247302392,181332.4431,2019.512483,62.50866858,790.4422741,1511.628494,796.0018983,8.143214321,7.214894165,6.690717979,81.41874576,0.377981654,3.337235879,0.673338591,66.93623395,24.72259607,1.047890682,0.052869173,15.41602409,0.592627125
67B_Disk_t15_Tot,4.25190933,155189.6738,2362.600515,76.39011938,968.0285432,1328.726398,1150.116197,10.35581849,3.106427408,8.841610876,183.4152105,1.257082889,5.324569523,0.976267755,88.921882,31.25972244,3.141835522,0.034848945,18.01422963,0.295083297
67B_Disk_t18_Tot,1.010228045,153823.2641,2372.517262,1079.055348,1196.522101,1333.830731,1363.362161,13.86128897,180.2876307,27.51251542,926.7813198,4.657008534,114.3904142,2.568580142,211.2016984,33.22982136,3.192032142,0.034735452,41.17742776,0.477372647
67B_Disk_t23_Tot,2.137812627,165556.8479,2968.185434,228.6703392,1031.773376,1423.896379,1499.774884,13.54416939,3.087850007,12.07638689,131.1888301,1.045861855,4.338876383,0.994299786,152.4672061,39.14011525,1.66544076,0.018792591,41.77095306,0.447972917
,,,,,,,,,,,,,,,,,,,,
BLANK,0.279,31.256,5.855,5.644,135.575,91.533,22.707,0.308,0.121,0.133,1.395,0.021,0.288,0.076,1.068,0.100,0.020,0.006,1.224,0.015
63B_Disk_t0_Tot,2.752018622,214775.4799,41.54949561,417.0351651,865.0402659,755.4478478,186.9655731,2.38337985,1.817382061,1.984502953,33.42391114,0.200208387,3.569733346,0.952765792,1014.593401,2.343718283,0.307387565,0,85.15103084,0.372262808
63B_Disk_t0.5_Tot,6.212800509,203446.3832,421.1695906,82.12021989,750.3373893,850.8103665,256.8733835,2.413655824,1.049986148,5.700526665,33.20526253,0.821883992,13.68735042,2.08079456,239.8728327,7.308387867,0.398484435,0.018368536,54.6784813,0.41631852
63B_Disk_t1_Tot,1.343544407,242185.9713,1066.360768,3770.838245,713.9959311,1120.944734,672.5089634,7.029918336,4.507891992,10.88171792,52.79224512,0.564956929,17.26323417,4.818733793,125.693426,13.68217873,0.503627777,0.017257764,40.09278308,0.337541949
63B_Disk_t2_Tot,2.336883455,211631.0921,1329.292303,100.848163,701.9954976,1321.094412,797.1067784,8.454787808,1.74349848,9.354309714,61.31964792,0.52325813,3.124603044,7.592850216,104.8573287,18.3849181,0.63326696,0.094494778,34.00558841,0.329613785
63B_Disk_t3_Tot,2.772611487,209536.7979,1447.546594,533.5535312,718.626531,1173.459525,810.2818052,7.200839598,2.578059507,10.20073817,46.44670743,0.447199413,4.086828734,2.471925603,91.25487817,19.31734844,0.664517961,0.087746392,38.34096484,0.311624622
63B_Disk_t4_Tot,5.801053801,202163.5866,1746.254897,264.8483931,753.9311484,1141.016641,865.9426322,9.026789159,0.972224717,12.17921267,61.84393819,0.635844262,2.899520888,1.255523573,98.16217013,24.20308583,0.828819197,0.01910278,29.29728009,0.322521213
63B_Disk_t7_Tot,3.31459971,187933.4214,2120.664436,370.4987128,705.4299165,1123.369482,986.3533662,10.14860777,5.074708494,27.61499102,132.6158097,1.988838087,62.33571793,4.617666342,78.37662412,26.67252961,0.691289993,0.075087062,15.52771773,0.64817079
63B_Disk_t9_Tot,3.715134254,206878.7324,2463.577566,164.118633,826.7504428,1216.95507,1220.606355,11.76914494,0.592109915,11.90580087,66.9153862,1.00799376,2.765274133,1.204937113,118.1730915,31.09556975,1.385662284,0.033957114,15.50453199,0.480873917
63B_Disk_t15_Tot,1.960972631,206949.8243,2730.911288,175.1399441,1138.544989,1182.663732,1271.521895,18.13948271,5.083703598,12.02790126,161.8955121,1.434807571,5.65823921,1.71389074,391.3898933,34.53936066,2.765368785,0.017818314,18.50385585,0.439651897
63B_Disk_t18_Tot,4.202496985,214831.9866,3029.173064,174.9668054,1050.618759,1271.971385,1291.840278,13.32770128,18.36876993,15.96435204,295.9933908,2.701817401,17.99291376,2.732346987,97.76978473,36.60134127,3.284473934,0.035542245,27.59992559,0.828515069
63B_Disk_t23_Tot,2.078479706,214505.1392,2974.956529,259.0829359,833.5713472,1380.948325,1625.956584,17.00840467,3.191477313,14.70211943,167.4090549,2.010054733,5.216546938,2.093016572,127.8018719,39.39690646,2.599366749,0,23.89239456,0.732788637
